lon,lat,count,name,country
27.142826,38.423734,35,İzmir; Turkey,Turkey
-122.3084023,47.6508882,122,WA 98195; USA,United States
-86.80411509999999,36.1489935,64,TN 37235; USA,United States
-106.7455792,32.2777551,17,NM 88003; USA,United States
-77.8599084,40.7982133,7,The Pennsylvania State University; USA,United States
-111.6502622,40.2524308,8,UT 84602; USA,United States
-71.1002881,42.3476181,42,MA 02215; USA,United States
-119.3714909,34.5125711,5,CA 93023; USA,United States
10.2027261,56.1460465,955,DK-8000 Aarhus C; Denmark,Denmark
-2.7073842,53.7613383,63,Preston PR1 2HE; UK,United Kingdom
-8.6393579,41.1502012,16,P-4150-762 Porto; Portugal,Portugal
-157.8152491,21.3175493,202,HI 96822; USA,United States
-118.1247032,34.1378866,521,CA 91125; USA,United States
79.8587938,6.9000149,2,University of Colombo 00300; Sri Lanka,Sri Lanka
127.3845475,36.3504119,1,Daejeon 34134; Republic of Korea,South Korea
139.7600967,35.7088306,103,Tokyo 113-0033; Japan,Japan
-115.2837585,30.8406338,1,B.C.; Mexico,Mexico
-2.2737212,53.0030511,39,Staffordshire ST5 5BG; UK,United Kingdom
-5.9353941,54.5838653,40,Belfast BT7 1NN; UK,United Kingdom
79.8912813,6.788070599999999,1,0272 Moratuwa; Sri Lanka,Sri Lanka
-70.39750219999999,-23.6509279,6,Antofagasta; Chile,Chile
-119.848947,34.4139629,11,CA 93106-9530; USA,United States
12.5683372,55.6760968,60,DK-1350 Copenhagen; Denmark,Denmark
-2.8074837,56.3401503,19,St Andrews KY16 9SS; UK,United Kingdom
109.2196634,13.7829673,1,590-000 Quy Nhon; Socialist Republic of Vietnam,Vietnam
-1.9317168,52.4511304,214,Birmingham B15 2TT; UK,United Kingdom
-8.629105299999999,41.1579438,7,P-4169-007 Porto; Portugal,Portugal
-71.1032591,42.36475590000001,289,MA 02139; USA,United States
-97.73488049999999,30.2835151,9,Austin; TX 78712,United States
11.7363208,55.6079865,10,DK-4340 Tølløse; Denmark,Denmark
-1.2595799,51.7596645,48,OX1 3RH; UK,United Kingdom
-74.6568772,40.3467174,131,NJ 08544; USA,United States
-122.1277465,47.55770769999999,7,WA 98006; USA,United States
-122.1492224,48.0563616,7,WA 98270; USA,United States
-71.13891009999999,42.3803274,969,MA 02138; USA,United States
-122.0525,37.41752,1500,CA 94035; USA,United States
-79.0581498,35.905249,51,NC 27599-3255; USA,United States
-39.3206241,-5.4983977,7,Ceará; Brazil,Brazil
-36.954107,-5.402580299999999,1,Rio Grande do Norte; Brazil,Brazil
-77.1945247,41.2033216,5,PA 68505-080; Brazil,United States
-36.954107,-5.402580299999999,38,RN; Brazil,Brazil
-87.603826,41.7805099,77,IL 60637; USA,United States
-76.48305789999999,42.4467049,23,NY 14853; USA,United States
10.2027261,56.1460465,238,Aarhus C; Denmark,Denmark
2.23847,48.812995,132,Meudon; France,France
4.4970097,52.1601144,35,Leiden; The Netherlands,Netherlands
144.960974,-37.7983459,1,ARC Centre of Excellence for All Sky Astrophysics in 3 Dimensions (ASTRO 3D); Australia,Australia
11.8767611,45.4064349,58,Padova; Italy,Italy
2.1734035,41.3850639,38,Barcelona; Spain,Spain
-1.9317168,52.4511304,130,B15 2TT; UK,United Kingdom
18.4687792,-33.9382014,1,Observatory; South Africa,South Africa
151.1126498,-33.77382370000001,3,2109; Australia,Australia
4.7005176,50.8798438,208,Leuven; Belgium,Belgium
4.3517211,50.8503463,1,Bruxelles; Belgium,Belgium
5.842828099999999,51.8448837,40,Nijmegen; The Netherlands,Netherlands
8.8250576,45.82059890000001,1,Varese; Italy,Italy
13.3614868,38.11569,29,Palermo; Italy,Italy
9.4065471,45.6983647,3,Merate (LC); Italy,Italy
9.0576448,48.5216364,9,Tübingen; Germany,Germany
9.189982,45.4642035,10,Milano; Italy,Italy
9.1582069,45.1847248,1,Pavia; Italy,Italy
9.915803499999999,51.54128040000001,105,Göttingen; Germany,Germany
12.0206589,57.4134952,1,Onsala; Sweden.,Sweden
13.404954,52.52000659999999,91,Berlin; Germany,Germany
13.1910073,55.7046601,11,Lund; Sweden,Sweden
11.7158452,50.9910636,36,Tautenburg; Germany,Germany
-16.6291304,28.2915637,473,Tenerife; Spain,Spain
12.0206589,57.4134952,12,Onsala; Sweden,Sweden
7.686864,45.0703393,25,Torino; Italy,Italy
139.7600967,35.7088306,24,113-0033; Japan,Japan
-97.73488049999999,30.2835151,21,78712; USA,United States
139.6503106,35.6761919,1,Tokio; Japan,Japan
6.9602786,50.937531,24,Köln; Germany,Germany
-83.01733860000002,39.9990626,15,43210; USA,United States
-74.6568772,40.3467174,16,08544; USA,United States
